Price,Close,High,Low,Open,Volume
Ticker,SBUX,SBUX,SBUX,SBUX,SBUX
Date,,,,,
2000-01-03,2.3017051219940186,2.304622899883596,2.1704293323650736,2.228774206891017,24232000
2000-01-04,2.228773832321167,2.322125615873886,2.217104859377077,2.246277647846095,21564800
2000-01-05,2.2579457759857178,2.298786809900674,2.2112699016730137,2.234607838829366,28206400
2000-01-06,2.339629650115967,2.3921396771644075,2.2404430147100793,2.2404430147100793,30825600
2000-01-07,2.327960252761841,2.333794382609603,2.263780551131315,2.3104564387835067,26044800
2000-01-10,2.427147626876831,2.4971615007290473,2.4096445145227547,2.4154786479014616,29031200
2000-01-11,2.357133150100708,2.4329818501484786,2.3512990182142954,2.421312874157881,19623200
2000-01-12,2.3629672527313232,2.4038082997740493,2.3104565211420476,2.3688013827870487,17745600
2000-01-13,2.532168388366699,2.5438373671149326,2.368802685891428,2.368802685891428,21556000
2000-01-14,2.4679884910583496,2.5730092627583283,2.4563195164250184,2.5380023388583353,22196800
2000-01-18,2.432981491088867,2.4854915191882356,2.362967645477931,2.4446504653573564,10513600
2000-01-19,2.3804714679718018,2.485492268029381,2.3746373351886554,2.4329822241095327,15800800
2000-01-20,2.339629650115967,2.403808651199356,2.2929537539761733,2.3863055462557603,18167200
2000-01-21,2.3308777809143066,2.368801769114181,2.3104568979537334,2.3629676381069693,11176000
2000-01-24,2.2929537296295166,2.386305520917891,2.158760173543656,2.3337947822093574,31140000
2000-01-25,2.427147626876831,2.520499458679786,2.2229408509168445,2.2696167668183223,47650400
2000-01-26,2.707202196121216,2.7422091210710593,2.497160646422156,2.5146644650059335,75863200
2000-01-27,2.69553279876709,2.7188707450767615,2.6430227756791282,2.69553279876709,37517600
2000-01-28,2.783050537109375,2.8180574576251054,2.701367722572671,2.707201853216482,60170400
2000-01-31,2.987257957458496,2.987257957458496,2.788885358721018,2.7947202030280778,51054400
2000-02-01,3.016429901123047,3.022264031561665,2.934747089459218,2.9639191660875017,30592000
2000-02-02,2.969754457473755,3.0339334630839874,2.882236789929788,3.010595513367957,20413600
2000-02-03,2.9347479343414307,2.9872579722764523,2.8355612783717885,2.9755889958222475,20513600
2000-02-04,3.208968162536621,3.243975087946111,2.9405817343971945,3.0339335354891688,51308800
2000-02-07,3.197299003601074,3.2206369525324687,3.1156161823411925,3.203133846942763,19449600
2000-02-08,3.26731276512146,3.26731276512146,3.17979581502168,3.1972989201545716,21536000
2000-02-09,3.2206361293792725,3.255643043829047,3.1797950852966177,3.249808914196167,17676000
2000-02-10,2.987257957458496,3.2381413060883233,2.946416896180267,3.220637485384941,24207200
2000-02-11,3.0689399242401123,3.1272847897199623,2.9755881394723525,2.9755881394723525,19193600
2000-02-14,3.1681272983551025,3.249810129278578,3.068940647553429,3.115616550938272,20843200
2000-02-15,3.232306480407715,3.2556444333348464,3.0222649040635314,3.1681274659670042,16425600
2000-02-16,3.1914632320404053,3.238139105911436,3.185628391697869,3.2323042655689003,16617600
2000-02-17,3.232306480407715,3.2439754568712806,3.1739615980898863,3.2089685274805833,11840800
2000-02-18,3.092277765274048,3.2673123557612582,3.033932901778311,3.2264713074230285,17745600
2000-02-22,3.0981125831604004,3.14478847358679,3.016429774914218,3.0689397955351234,13170400
2000-02-23,3.255643367767334,3.2731471828426093,3.057270832813769,3.0747746478890443,18372800
2000-02-24,3.2731480598449707,3.378168841783027,3.144789326365124,3.2556442400797483,24721600
