Price,Close,High,Low,Open,Volume
Ticker,COP,COP,COP,COP,COP
Date,,,,,
2000-01-03,7.564847946166992,7.7839679436588325,7.554413501443777,7.763099054212403,1862219
2000-01-04,7.418768405914307,7.554413684328175,7.37703062601102,7.4918086853211205,1472879
2000-01-05,7.283121109008789,7.502240215653258,7.210080849844828,7.460503282741155,4075997
2000-01-06,7.533541679382324,7.617016369249564,7.220514307506851,7.303988161950498,2719867
2000-01-07,7.533541679382324,7.648319691233625,7.5126736334832085,7.596148323350447,1762785
2000-01-10,7.5126752853393555,7.5648466646937615,7.439635855497452,7.5648466646937615,1504624
2000-01-11,7.502240180969238,7.554411555724097,7.429199922142954,7.51267462300495,1113973
2000-01-12,7.356159210205078,7.49180526206161,7.32485588958116,7.460501941437692,2253132
2000-01-13,7.366591930389404,7.460500199487428,7.345723054846127,7.4500657617157895,1937778
2000-01-14,7.303989410400391,7.366595229645955,7.1787786073329976,7.366595229645955,1109775
2000-01-18,7.418768405914307,7.429202015466191,7.272688682524616,7.272688682524616,1537419
2000-01-19,7.356159210205078,7.4813699864300816,7.283119799596381,7.4813699864300816,1476290
2000-01-20,7.147480010986328,7.324862308265507,7.074440536374063,7.324862308265507,1220753
2000-01-21,7.1266093254089355,7.293557111906658,7.0535690422481965,7.210083218657797,3327227
2000-01-24,6.970092296600342,7.210080700141681,6.928355782266667,7.189211816407078,2305079
2000-01-25,7.053569316864014,7.105740711031729,6.876187077948185,7.022266814532989,1500164
2000-01-26,6.87618350982666,7.095302583288745,6.803143261723579,7.095302583288745,2370669
2000-01-27,6.76140832901001,6.8761859623542465,6.66750041954057,6.8761859623542465,1421719
2000-01-28,6.6570658683776855,6.792711561081367,6.552723092099771,6.750974617654984,1373970
2000-01-31,6.824012279510498,6.844880325512812,6.552720580379859,6.6361952706599,2060561
2000-02-01,6.792710304260254,6.865750150598206,6.667499497148233,6.82401363260608,1687226
2000-02-02,6.698799133300781,6.907484558248602,6.646627777063826,6.761404510158106,1265878
2000-02-03,6.573591709136963,6.74054031134861,6.563157682568698,6.698802951939728,3274493
2000-02-04,6.510982990264893,6.563154349749027,6.417074292566414,6.531851450516201,1904458
2000-02-07,6.677934646606445,6.698803117972149,6.604894370258555,6.677934646606445,3260063
2000-02-08,6.510982990264893,6.771839787685564,6.44837719179924,6.771839787685564,2183345
2000-02-09,6.364904880523682,6.63619619993166,6.323167947251004,6.63619619993166,2013599
2000-02-10,6.34403657913208,6.57359012070836,6.312733253855533,6.375339068984948,2925294
2000-02-11,6.250128746032715,6.396208445177411,6.187523339704373,6.385774001933404,1501214
2000-02-14,6.281429290771484,6.364903557679901,6.16665253927021,6.260560828472323,2618597
2000-02-15,6.385774612426758,6.417077527439503,6.302300729342026,6.323169200113209,2552745
2000-02-16,6.653602600097656,6.674658651297742,6.348295336652885,6.379878570536633,2294585
2000-02-17,6.653602600097656,6.6957142810396375,6.5904357108719696,6.622019366213908,1993398
2000-02-18,6.527270793914795,6.822050561321425,6.4114645771360035,6.822050561321425,2608628
2000-02-22,6.579907417297363,6.622019096524297,6.464101247704187,6.506212505472947,2752662
2000-02-23,6.327240467071533,6.55885285894443,6.274601172157256,6.55885285894443,1451890
2000-02-24,6.106154918670654,6.316711650571746,6.074570839916898,6.285127993276207,1428016
2000-02-25,6.211435317993164,6.285129837543498,6.053517406635286,6.190379680770448,1366099
2000-02-28,6.253541469573975,6.379875610876419,6.116679307555495,6.274597089548049,1779051
2000-02-29,6.421990394592285,6.47462968430376,6.106155077781666,6.106155077781666,2259954
2000-03-01,6.516741752624512,6.516741752624512,6.232489234280449,6.443046405523012,1948797
2000-03-02,6.4114603996276855,6.558849765838326,6.295654258304576,6.474627270860817,2347844
2000-03-03,6.421990394592285,6.443046026185229,6.306184210101978,6.443046026185229,2870199
2000-03-06,6.485157012939453,6.485157012939453,6.306183531472033,6.411462099565596,1397057
