Price,Close,High,Low,Open,Volume
Ticker,SPGI,SPGI,SPGI,SPGI,SPGI
Date,,,,,
2000-02-17,16.489160537719727,17.06807779630795,16.289533896827237,16.768637834969216,825800
2000-02-18,16.03002166748047,16.54905101163301,15.670693659990246,16.40931234205348,1981600
2000-02-22,16.03002166748047,16.22964833830837,15.431141654996765,15.950170999149307,1054800
2000-02-23,15.744413375854492,16.005148883989662,15.343281824877307,15.924922573794225,1710200
2000-02-24,14.922097206115723,15.463624927305407,14.440739231724894,15.403455180506553,2428400
2000-02-25,14.902044296264648,15.323232627653018,14.6011954881301,15.323232627653018,2064000
2000-02-28,14.922097206115723,15.04243669971343,14.541022143056317,14.90204062384944,1574400
2000-02-29,16.32605743408203,16.406283760539438,15.30317177175011,15.724359985651489,2914000
2000-03-01,16.08538055419922,16.727191249628614,16.005154217270544,16.24583322805657,1258800
2000-03-02,16.145545959472656,16.22577227479923,15.764470961671439,16.08537622297773,734000
2000-03-03,16.08538055419922,16.346116149217412,15.764475206484521,16.06532396996705,632000
2000-03-06,15.824646949768066,15.904873296788438,15.563911321951863,15.884816710033345,991600
2000-03-07,15.724357604980469,16.185658912269435,15.644131290669344,15.74441418355825,1039000
2000-03-08,15.36335277557373,15.804597894454439,15.202900005071655,15.804597894454439,631800
2000-03-09,15.98509407043457,16.205716447818237,15.283113778759276,15.34328351804573,913400
2000-03-10,15.724357604980469,16.165602333691655,15.503735240624875,15.904866812180499,1050400
2000-03-13,14.681422233581543,15.403459392610145,14.44074318057201,15.323233041606967,1296800
2000-03-14,14.922097206115723,15.082549864246,14.60119188985517,14.741587965719162,991800
2000-03-15,14.881988525390625,15.243007114955356,14.340460641043526,14.72153581891741,1259200
2000-03-16,16.285947799682617,16.52662683120502,15.102609228030802,15.222948743792003,1280600
2000-03-17,15.824646949768066,16.16560892460464,15.283119107380568,16.125495751094455,1669000
2000-03-20,15.243002891540527,15.463625301812824,14.942154150260123,15.403455553556743,1283600
2000-03-21,14.7014799118042,15.182838053527666,14.280291537796167,15.082555107335276,2477400
2000-03-22,15.222952842712402,15.684254444006719,14.962217155024312,15.0424435204668,2219800
2000-03-23,15.824646949768066,16.105439164339366,15.202892760360196,15.202892760360196,1242200
2000-03-24,15.42351245880127,15.724361206372166,15.243003210258733,15.243003210258733,1033000
2000-03-27,14.801761627197266,15.38340266674838,14.681422101772899,15.343289491606923,1004800
2000-03-28,14.440744400024414,14.922102546691894,13.959386253356934,14.922102546691894,2671600
2000-03-29,14.761652946472168,14.902049102213073,14.380577666604001,14.440747447635818,1172000
2000-03-30,14.96220874786377,15.323227189501234,14.661360046499217,14.681416626590186,1201600
2000-03-31,14.601184844970703,14.902033433809384,14.200053393185792,14.881976861220139,1204800
2000-04-03,14.440744400024414,14.500914168357848,14.280291684468587,14.400631221135457,1394800
2000-04-04,14.761652946472168,15.28312438208124,14.440747447635818,14.681426571763081,1901600
2000-04-05,15.042436599731445,15.323228749593097,14.841870778401692,15.042436599731444,1456200
2000-04-06,15.303174018859863,15.563909618132703,14.922098912230325,14.922098912230325,987200
2000-04-07,15.042436599731445,15.443568242390949,14.922097106933593,15.283115585327147,600600
2000-04-10,14.561084747314453,14.962216558535236,14.380575432265099,14.88199019629108,1061200
2000-04-11,14.220115661621094,15.082548628404885,14.1198327585067,14.48085120971852,1514800
2000-04-12,14.520967483520508,14.942155766882289,14.38057138906658,14.38057138906658,1166800
2000-04-13,13.778877258300781,14.52097108443925,13.738764078509512,14.52097108443925,1637200
2000-04-14,13.818992614746094,14.200067882786987,13.718709649472174,13.85910580085566,1400600
2000-04-17,13.71870231628418,13.818985227952922,13.437910163611695,13.67858915161668,1317200
2000-04-18,15.684252738952637,16.005158165836576,14.139895372073669,14.159951961253915,4393800
2000-04-19,15.98509407043457,16.085376969245328,15.563905895429395,15.804584852575209,2053000
2000-04-20,15.884819984436035,16.38623475667202,15.70431066643108,16.04527271155155,1029600
2000-04-24,16.646976470947266,16.727202863578338,15.52380697411227,15.563920170427805,2541200
2000-04-25,17.449230194091797,17.629739471961713,16.165608662572403,16.245835008292364,2138800
2000-04-26,17.64980125427246,17.75008421594446,17.108273261243646,17.128329853578048,953200
2000-04-27,17.28877830505371,17.449231003940522,16.867589970475837,17.449231003940522,818800
2000-04-28,16.84752082824707,17.368991711026144,16.72718139375959,17.208539131709507,689000
2000-05-01,16.667024612426758,16.96787343214565,16.386232380689123,16.446402144632902,1133200
2000-05-02,16.667024612426758,16.807420728295575,16.386232380689123,16.687081200408016,801400
2000-05-03,16.486513137817383,16.847531673681996,16.386230211188323,16.707135576401313,1189600
2000-05-04,16.646976470947266,16.667033069105035,16.16561811516084,16.406297293054052,926800
2000-05-05,16.747241973876953,17.24865640423255,16.38622358402092,16.506563047306265,1169400
2000-05-08,16.386234283447266,16.787366089651606,16.14555519972466,16.787366089651606,587000
2000-05-09,16.265888214111328,16.646963277080644,15.985096062449726,16.506567201249844,988000
2000-05-10,16.205717086791992,16.62690527840416,16.10543418402719,16.10543418402719,585600
2000-05-11,16.145545959472656,16.36616832662073,16.04526306531444,16.265885432462515,674200
2000-05-12,16.336084365844727,16.446395555546562,16.105433696468157,16.30599949592604,787200
2000-05-15,16.366186141967773,16.366186141967773,16.045280531340957,16.366186141967773,522400
2000-05-16,16.245834350585938,16.44640020676601,16.125494836877895,16.245834350585938,867200
2000-05-17,16.125490188598633,16.265886247454592,15.985094129742675,16.04526386925237,1533800
2000-05-18,16.366186141967773,16.64697855126624,16.06533713200513,16.12550693399766,834400
2000-05-19,16.08538055419922,16.326059564985243,15.78453179071669,16.165606891127894,752200
2000-05-22,15.884819984436035,16.285951802224822,15.644140893762762,16.245838620445944,630600
2000-05-23,15.98509407043457,16.12549012876963,15.744415113288756,16.085376969245328,793000
2000-05-24,16.262386322021484,16.403447913414485,16.040718106975344,16.101173074715202,1216600
2000-05-25,16.44375228881836,16.62511720376856,16.302690688301535,16.44375228881836,1495800
2000-05-26,16.625118255615234,16.846786499023438,16.463904987681996,16.725876548073508,1312800
2000-05-30,16.90723991394043,17.007998197098598,16.544510094571027,16.685571690992465,1328800
2000-05-31,16.58481216430664,16.746025405271954,16.48405388870332,16.685570439909963,723600
2000-06-01,16.58481216430664,16.705722095030627,16.363143957979336,16.6654187847893,625600
2000-06-02,16.90723991394043,17.007998197098598,16.766178317518996,16.826633287413898,940800
2000-06-05,16.90723991394043,16.947543227203695,16.48405512467613,16.78632997415063,1166800
2000-06-06,16.604969024658203,16.826637300472814,16.403452410281282,16.826637300472814,1505200
2000-06-07,16.725872039794922,16.846781958154885,16.584810468374965,16.584810468374965,958400
2000-06-08,16.80648422241211,16.84678754189032,16.403451027630044,16.443754347108253,944200
2000-06-09,17.128910064697266,17.24982001809513,16.967696793500114,17.008000111299403,731800
2000-06-12,16.94754409790039,17.411032224240117,16.80648249423178,17.12890901690289,903600
2000-06-13,17.269969940185547,17.310273253931605,16.887088459598004,17.028150057709205,919000
2000-06-14,17.65285873413086,17.69316206457408,17.31028042536348,17.31028042536348,966600
2000-06-15,17.65285873413086,17.874527051568574,17.511797077579583,17.572252073244417,1484200
2000-06-16,17.41102409362793,17.753602113988666,16.806474645932514,17.73345046573215,1523200
2000-06-19,17.55208396911621,18.176785005904502,17.290112566592086,17.290112566592086,997800
2000-06-20,18.579830169677734,18.781346765878144,17.83421876373622,17.955128721456465,1397600
2000-06-21,18.217090606689453,18.539516989108733,17.6125411396533,18.539516989108733,854000
2000-06-22,19.0836124420166,19.305280590762308,18.196939847033782,18.196939847033782,1828400
2000-06-23,18.942556381225586,19.123921282747958,18.700736512529087,19.08361797129854,1692000
2000-06-26,17.914823532104492,18.6402832026959,17.57224535432522,18.620131545179472,1599200
2000-06-27,18.438766479492188,18.680586367747825,17.693155157370647,17.93497504562628,1981000
2000-06-28,18.856904983520508,19.144065973117268,18.378303334192577,18.418606630978086,1133200
2000-06-29,18.45891571044922,18.801493840446636,18.338005782214832,18.720887221623716,1487800
2000-06-30,17.41102409362793,18.821639471583897,17.4059861815638,18.378303209940594,2408000
2000-07-03,17.572240829467773,17.652847438777258,17.49163422015829,17.612544134122516,884000
2000-07-05,17.59239959716797,18.19694941150364,17.59239959716797,17.733461220512957,1282600
2000-07-06,17.673006057739258,18.055887602889822,17.652854397468175,18.055887602889822,608000
2000-07-07,18.055879592895508,18.156637849552293,17.713301520262448,17.75360482292516,706200
2000-07-10,18.156635284423828,18.64027484804888,17.73345066625191,17.93496715109568,1050600
2000-07-11,18.0961856842041,18.156640647514358,17.934972448710077,18.156640647514358,1030000
2000-07-12,18.0961856842041,18.196943956387866,17.894669139836573,18.01557906645709,1307400
2000-07-13,18.761192321777344,19.24483208087794,18.620130725373002,18.8619506049233,2080200
2000-07-14,19.063467025756836,19.103770338707697,18.781343835100817,18.841798804527105,1242400
2000-07-17,18.700742721557617,18.94256267054328,18.57983274706479,18.94256267054328,1277000
2000-07-18,18.982852935791016,19.023156232894607,18.25739358792639,18.378303479237164,863600
2000-07-19,18.8619441986084,19.325432143659672,18.761185949684208,19.22467389473548,1307400
2000-07-20,18.92240333557129,19.103768223771652,18.68058348463747,18.781341755859895,959000
2000-07-21,18.801498413085938,19.003015009153312,18.700740115052252,18.982863349546573,654000
2000-07-24,19.023162841796875,19.023162841796875,18.66043304184736,18.801494630716615,598400
2000-07-25,18.902252197265625,19.224678673978044,18.741038958909414,18.882100542471097,947200
2000-07-26,19.123916625976562,19.325433134153343,18.80149021289371,18.982855070252814,1146000
2000-07-27,19.829227447509766,20.030743986610474,19.184374522387497,19.28513279193785,1661400
2000-07-28,19.607559204101562,19.82922739654259,19.06346454992814,19.82922739654259,960600
2000-07-31,19.164222717285156,19.52695248480475,19.043312794778625,19.52695248480475,1032600
2000-08-01,19.123916625976562,19.38588808660638,18.84179351452907,19.24482653088263,891200
2000-08-02,19.20452308654785,19.3254329905555,19.103764833208146,19.123916483876087,829000
2000-08-03,19.123916625976562,19.264978181700307,19.04331002270585,19.04331002270585,1142000
2000-08-04,19.164222717285156,19.38589090854713,18.680583027259033,19.003009487276447,1568600
2000-08-07,19.305280685424805,19.486645535287877,18.861944385759518,19.103764185576946,796200
2000-08-08,18.982852935791016,19.22467271841256,18.88209469303204,19.22467271841256,1014800
2000-08-09,18.559677124023438,18.80149702140485,18.378312200987377,18.70073873082926,1318800
2000-08-10,18.378307342529297,18.680582134347212,18.29770073137785,18.64027882877149,1046000
2000-08-11,18.801498413085938,18.922408370726362,18.39846522095119,18.418616880557927,1152600
2000-08-14,19.18437385559082,19.305283774848746,18.80149244460739,18.962705670284624,810800
2000-08-15,19.103771209716797,19.264984468870527,18.922406293168855,19.063467894928365,735000
2000-08-16,19.123916625976562,19.34558478497102,19.063461673523527,19.123916625976562,565400
2000-08-17,18.882102966308594,19.24483279917258,18.84179965154593,19.16422616964725,543800
2000-08-18,18.801498413085938,19.144076626400473,18.741043434265727,18.801498413085938,495000
2000-08-21,18.882102966308594,18.98286125321526,18.53952479082594,18.84179965154593,526800
2000-08-22,19.103771209716797,19.264984468870527,18.861951320986204,18.922406293168855,612000
2000-08-23,19.26498031616211,20.030743132076502,19.06346378565832,19.103767091759078,758200
2000-08-24,19.36128807067871,19.421981763690244,19.118513298632582,19.260131915659493,873200
2000-08-25,19.40174674987793,19.442209203996548,19.21966570634414,19.42197797693724,556000
2000-08-28,20.049142837524414,20.393073643011714,19.361281226549814,19.421974898106395,1314800
2000-08-29,19.907529830932617,20.00868597844752,19.705217535902815,20.00868597844752,1252600
2000-08-30,20.474002838134766,20.55492775053846,19.907528451308902,19.907528451308902,950200
2000-08-31,20.054208755493164,20.413313124128727,20.04915094748421,20.393081892092923,822000
2000-09-01,19.968219757080078,20.352613045210294,19.86706362862476,20.210994465372845,763200
2000-09-05,19.72544288635254,20.008680014977088,19.64451799245981,19.968217568030724,757800
2000-09-06,19.320816040039062,19.70520923874141,19.260122377086063,19.421972144960733,1725800
2000-09-07,19.543365478515625,19.66475284173622,19.381515660888166,19.401746888091598,1018600
2000-09-08,19.543365478515625,19.66475284173622,19.42197811529503,19.60405916012592,830600
2000-09-11,20.575153350830078,20.65607824109883,19.745673225575374,19.78613567070975,1689200
2000-09-12,20.63585090637207,20.898856849296422,20.251457605174945,20.554926000856888,888800
2000-09-13,20.474002838134766,20.77747125964862,20.413309153831996,20.59539020674031,1668000
2000-09-14,20.575153350830078,20.65607824109883,20.413303570292573,20.5346909056957,620600
2000-09-15,21.161861419677734,21.20232386981096,20.757236918345463,20.878624268745146,2094600
2000-09-18,21.72834014892578,21.910421211626275,21.36417802352479,21.36417802352479,1581000
2000-09-19,21.182098388671875,21.66764792193656,20.595392702643714,21.647416691383867,1237200
2000-09-20,20.91908836364746,21.101169403563155,20.61561996378797,21.080938176905857,1237400
2000-09-21,20.858386993408203,21.161855281382135,20.494225047839485,21.040467966192562,1323200
2000-09-22,20.89885711669922,21.222556742901727,20.635851170409683,20.676313623684997,2617600
2000-09-25,20.696533203125,20.71676441837732,20.190752821816957,20.393064974340174,1558600
2000-09-26,20.049142837524414,20.61561710538585,20.008680389820025,20.31214874760294,1245400
2000-09-27,20.312152862548828,20.534696370007033,19.846834619681673,20.069378127139878,1598000
2000-09-28,20.91908836364746,20.97978204361936,20.39307647055768,20.39307647055768,1083600
2000-09-29,20.575153350830078,21.0404714698754,20.575153350830078,20.878621689337894,1150400
2000-10-02,21.060707092285156,21.202325679841348,20.656082556410322,20.676313783204062,1064200
2000-10-03,20.595394134521484,21.121406165462112,20.595394134521484,20.979787541747328,758400
2000-10-04,20.190765380859375,21.364176595378257,20.190765380859375,20.55492748191696,1195400
2000-10-05,19.765911102294922,20.878628718084297,19.745679872916934,20.06937954296475,1859800
2000-10-06,19.968219757080078,20.13006956260859,19.684982597405185,19.786138725860503,1964600
2000-10-09,20.453771591186523,20.65608387200934,19.96822211721177,19.96822211721177,675600
2000-10-10,20.271684646606445,20.676309090650484,20.109834868988827,20.453765646426262,1502200
2000-10-11,20.069385528564453,20.53470394303722,20.008691822328874,20.393085295154204,1101000
2000-10-12,19.583833694458008,20.06938329018837,19.50290876183628,20.06938329018837,1290000
2000-10-13,19.421972274780273,19.826596697171528,19.361278611421586,19.54335960149765,1726000
2000-10-16,19.098278045654297,19.401746446803465,18.916197004964797,19.401746446803465,1497400
2000-10-17,19.30059814453125,19.401754319292944,18.855510975579797,18.855510975579797,1500600
2000-10-18,19.219661712646484,19.361280272634406,18.976887038381477,19.260124158357318,917200
2000-10-19,19.38150978088379,19.66474687580276,19.280353675555585,19.341047338752507,1150400
2000-10-20,19.523134231567383,19.725446503397098,19.280359505371727,19.3005907325547,854800
2000-10-23,19.341049194335938,19.664748762441977,19.300586748322683,19.523130201395585,1208400
2000-10-24,19.421972274780273,19.604053264856336,19.158966400225957,19.34104739030202,1012000
2000-10-25,19.38150978088379,19.604053212605837,19.260122454489945,19.502897107277633,645600
2000-10-26,19.482666015625,19.62428456402518,19.38150990962487,19.421972352024923,741000
2000-10-27,20.028919219970703,20.028919219970703,19.34105734776969,19.44221350544631,719000
2000-10-30,20.10983657836914,20.210992697978643,19.826599443462534,19.927755563072036,1795400
2000-10-31,20.77747917175293,20.858404114973002,20.109848390187356,20.109848390187356,924800
